"month","01","02","03","04","05","06","07","08","09","10","11","12"
"Tavg","18.39249","19.80555","22.45882","25.22097","27.40997","29.07863","28.83933","27.77375","28.15657","26.22134","24.55325","20.26244"
"Wavg","70.70785","74.20745","74.45691","74.01196","80.20014","77.51904","80.78998","84.94429","84.43376","79.74966","78.71711","78.43625"
"Rsum","   3.5","  35.5","  45.0","  31.0"," 421.0"," 311.5"," 836.0","1739.5"," 347.5","  45.5","   5.0","  59.5"
